source,day_label,type,reference,problems,db_first_verse,csv_incipit,index_source_file,index_raw_header_ref,candidate_first_line,candidate_source,quality_notes
standard,Ordinary Time/6/Thursday/I,first_reading,Gen 9:1-13,raw_verse_lowercase,"And God blessed Noah and his sons, and said to them, ""Be fruitful and multiply, and fill the earth.","are spirit and life; you have the words of everlasting life.,338,Noah left the ark with his wife and his sons and his sons' wives",,,,,no index match
standard,Ordinary Time/7/Sunday/A,first_reading,"Lev 19:1-2, 17-18",raw_verse_conjunction:and,"And the LORD said to Moses,",,sunday,"Lev 19:1-2, 17-18","ALLELUIA (1 John 2:5) THE LORD said to Moses, “Speak to the whole Israelite community and tell them: R. Alleluia, alleluia.",sunday,from sunday
standard,Ordinary Time/7/Sunday/C,first_reading,"1 Sam 26:2, 7-9, 12-13, 22-23",raw_verse_conjunction:so; verse_number_in_rendered,"So Saul arose and went down to the wilderness of Ziph, with three thousand chosen men of Israel, to seek David in the wilderness of Ziph.",,sunday,"1 Sam 26:2, 7-9, 12-13, 22-23","But the spiritual was not first; IN those days, Saul went down to the desert of Ziph rather the natural and then the spiritual.",sunday,from sunday
standard,Ordinary Time/7/Wednesday/I,gospel,Mark 9:38-40,raw_verse_lowercase; verse_number_in_rendered,"John said to him, ""Teacher, we saw a man casting out demons in your name,  and we forbade him, because he was not following us.""",says the Lord; no one comes to the Father,weekday_a,Mark 9.38-40,"John, one of the disciples, said to Jesus,",weekday_a,from weekday_a
standard,Ordinary Time/7/Wednesday/II,gospel,Mark 9:38-40,raw_verse_lowercase; verse_number_in_rendered,"John said to him, ""Teacher, we saw a man casting out demons in your name,  and we forbade him, because he was not following us.""",says the Lord; no one comes to the Father,weekday_a,Mark 9.38-40,"John, one of the disciples, said to Jesus,",weekday_a,from weekday_a
standard,Ordinary Time/8/Sunday/C,gospel,Luke 6:39-45,raw_verse_pronoun:he; verse_number_in_rendered,"He also told them a parable: ""Can a blind man lead a blind man? Will they not both fall into a pit?",,,,,,no index match
standard,Ordinary Time/8/Thursday/I,gospel,Mark 10:46-52,pronoun_after_incipit:they,"And they came to Jericho; and as he was leaving Jericho with his disciples and a great multitude, Bartimaeus, a blind beggar, the son of Timaeus, was sitting by the roadside.",,weekday_a,Mark 10.46-52,Jesus and his disciples came to Jericho.,weekday_a,from weekday_a
standard,Ordinary Time/8/Friday/I,first_reading,"Sir 44:1, 8-13",raw_verse_lowercase,"Let us now praise famous men, and our fathers in their generations.","to go and bear fruit that will last.,351,Let us now sing the praises of famous men",,,,,no index match
standard,Ordinary Time/8/Friday/II,first_reading,1 Peter 4:7-13,raw_verse_lowercase; verse_number_in_rendered,The end of all things is at hand; therefore keep sane and sober for your prayers.,"to go and bear fruit that will last.,351,Let us now sing the praises of famous men",weekday_a,1 Peter 4.7-13,The end of all things is near;,weekday_a,from weekday_a
standard,Ordinary Time/9/Monday/I,first_reading,"Tobit 1:1ad, 2a, 3, 17; 2.1-8",raw_verse_pronoun:who,"The book of the acts   of Tobit the son of Tobiel, son of Ananiel, son of Aduel, son of Gabael, of the descendants of Asiel and the tribe of Naphtali,","Who in the days of King Shalmaneser of the Assyrians,",weekday_a,"Tobit 1.1ad, 2a, 3, 17; 2.1-8++","This book tells the story of Tobit, son of Tobiel,",weekday_a,from weekday_a
standard,Ordinary Time/9/Monday/II,first_reading,2 Peter 1:1-7,raw_verse_pronoun:who,"Simon Peter, a servant and apostle of Jesus Christ, To those who have obtained a faith of equal standing with ours in the righteousness of our God and Savior Jesus Christ:","Who in the days of King Shalmaneser of the Assyrians,",weekday_a,2 Peter 1.1-7,"Simon Peter, a servant and apostle of Jesus Christ,",weekday_a,from weekday_a
standard,Ordinary Time/9/Friday/I,gospel,Mark 12:35-37,raw_verse_conjunction:while; verse_number_in_rendered,"And as Jesus taught in the temple, he said, ""How can the scribes say that the Christ is the son of David?","While Jesus was teaching in the temple, he said,",weekday_a,Mark 12.35-37,"While Jesus was teaching in the temple, he said,",weekday_a,from weekday_a
standard,Ordinary Time/9/Friday/II,gospel,Mark 12:35-37,raw_verse_conjunction:while; verse_number_in_rendered,"And as Jesus taught in the temple, he said, ""How can the scribes say that the Christ is the son of David?","While Jesus was teaching in the temple, he said,",weekday_a,Mark 12.35-37,"While Jesus was teaching in the temple, he said,",weekday_a,from weekday_a
standard,Ordinary Time/10/Tuesday/I,first_reading,2 Corinthians 1:18-22,raw_verse_lowercase; verse_number_in_rendered,"As surely as God is faithful, our word to you has not been Yes and No.",seeing your good works,weekday_b,2 Corinthians 1.18-22,"As surely as God is faithful,",weekday_b,from weekday_b
