normalized_ref,source_file,reading_type,raw_ref,candidate_line,method,confidence,page
1 kings 12:26-32; 13.33-34,weekday_a,first_reading,1 Kings 12.26-32; 13.33-34,"Once Jeroboam had become king of ten of the tribes of Israel, he said to himself,",weekday_direct,100,318
1 kings 17:1-6,weekday_b,first_reading,1 Kings 17.1-6,"Elijah the Tishbite, said to king Ahab,",weekday_direct,100,490
1 kings 17:10-16,sunday,first_reading,1 Kgs 17:10-16,"IN those days, Elijah the prophet went to Zarephath. As he arrived at the entrance of the city,",sunday_column_left,100,224
1 kings 17:17-24,sunday,first_reading,1 Kgs 17:17-24,"ELIJAH went to Zarephath of Sidon to the house of a widow. The son of the mistress of the house fell sick,",sunday_column_left,100,158
1 kings 17:7-16,weekday_b,first_reading,1 Kings 17.7-16,"After a while the wadi where Elijah was hiding dried up,",weekday_direct,100,492
1 kings 18:20-39,weekday_b,first_reading,1 Kings 18.20-39,"King Ahab summoned all the Israelites,",weekday_direct,100,494
1 kings 18:41-46,weekday_b,first_reading,1 Kings 18.41-46,"At the foot of Mount Carmel, Elijah said to Ahab,",weekday_direct,100,497
"1 kings 19:16b, 19-21",weekday_b,first_reading,"1 Kings 19.16b, 19-21","The Lord said to Elijah, ""You shall anoint Elisha son of Shaphat of Abel-meholah",weekday_direct,100,501
"1 kings 19:16b, 19-21",sunday,first_reading,"1 Kgs 19:16b, 19-21","THE Lord said to Elijah: ""You shall anoint Elisha, son of Shaphat of Abelmeholah,",sunday_column_left,100,167
1 kings 19:4-8,sunday,first_reading,1 Kgs 19:4-8,"ELIJAH went a day's journey into the desert, until he came to a broom tree and sat beneath it.",sunday_column_left,100,184
"1 kings 19:9a, 11-13a",sunday,first_reading,"1 Kgs 19:9a, 11-13a","AT the mountain of God, Horeb, Elijah came to a cave where he took shelter.",sunday_column_left,100,183
"1 kings 19:9a, 11-16",weekday_b,first_reading,"1 Kings 19.9a, 11-16","When Elijah reached Horeb the mount of God, he came to a cave, and spent the night there.",weekday_direct,100,499
1 kings 21:1-16,weekday_b,first_reading,1 Kings 21.1-16,"Naboth the Jezreelite had a vineyard in Jezreel,",weekday_direct,100,503
1 kings 21:17-29,weekday_b,first_reading,1 Kings 21.17-29,"The word of the Lord came to Elijah the Tishbite, saying:",weekday_direct,100,505
"1 kings 2:1-4, 10-12",weekday_a,first_reading,"1 Kings 2.1-4, 10-12","When David's time to die drew near,",weekday_direct,100,300
1 kings 3:4-13,weekday_a,first_reading,1 Kings 3.4-13,"King Solomon went to Gibeon to sacrifice there,",weekday_direct,100,304
"1 kings 3:5, 7-12",sunday,first_reading,"1 Kgs 3:5, 7-12","THE LORD appeared to Solomon in a dream at night. God said, ""Ask something of me and I will give it to you.""",sunday_column_left,100,177
"1 kings 8:1-7, 9-13",weekday_a,first_reading,"1 Kings 8.1-7, 9-13",King Solomon assembled before him in Jerusalem,weekday_direct,100,307
"1 kings 8:22-23, 27-30",weekday_a,first_reading,"1 Kings 8.22-23, 27-30","On the day of the dedication of the temple, King Solomon stood before the altar of the Lord",weekday_direct,100,309
1 kings 8:41-43,sunday,first_reading,1 Kgs 8:41-43,"IN those days, Solomon prayed in the temple, saying, ""To the foreigner, who is not of your people Israel,",sunday_column_left,100,155
"1 maccabees 1:10-15, 41-43, 54-57, 62-64",weekday_b,first_reading,"1 Maccabees 1.10-15, 41-43, 54-57, 62-64","From the successor of Alexander the Great came forth a sinful root,",weekday_direct,100,397
1 maccabees 2:15-29,weekday_b,first_reading,1 Maccabees 2.15-29,The king's officers who were enforcing the apostasy,weekday_direct,100,406
"1 maccabees 4:36-37, 52-59",weekday_b,first_reading,"1 Maccabees 4.36-37, 52-59","Judas, who was called Maccabeus, took command of the army in place of his father, Mattathias, and he defeated the army of King Antiochus, which was commanded by Lysias. Then Judas and his brothers said,",weekday_direct,100,408
1 maccabees 6:1-13,weekday_b,first_reading,1 Maccabees 6.1-13,King Antiochus was going through the upper provinces,weekday_direct,100,410
1 peter 1:10-16,weekday_a,first_reading,1 Peter 1.10-16,"Beloved, the prophets who prophesied of the grace that was to be yours",weekday_direct,100,349
1 peter 1:10-16,weekday_b,first_reading,1 Peter 1.10-16,"Beloved, the prophets who prophesied of the grace that was to be yours",weekday_direct,100,464
1 peter 1:17-21,sunday,second_reading,1 Pt 1:17-21,BELOVED: If you invoke as Father him who judges impartially,sunday_column_left,100,95
1 peter 1:18-25,weekday_a,first_reading,1 Peter 1.18-25,"Brothers and sisters, you know that you were ransomed",weekday_direct,100,351
1 peter 1:18-25,weekday_b,first_reading,1 Peter 1.18-25,"Brothers and sisters, you know that you were ransomed",weekday_direct,100,466
1 peter 1:3-9,weekday_a,first_reading,1 Peter 1.3-9,Blessed be the God and Father of our Lord Jesus Christ!,weekday_direct,100,347
1 peter 1:3-9,weekday_b,first_reading,1 Peter 1.3-9,Blessed be the God and Father of our Lord Jesus Christ!,weekday_direct,100,462
1 peter 1:3-9,sunday,second_reading,1 Pt 1:3-9,"BLESSED be the God and Father of our Lord Jesus Christ, who in his great mercy gave us a new birth to a living hope",sunday_column_left,100,92
1 peter 1:8-12,sunday,second_reading,1 Pt 1:8-12,BELOVED: Although you have not seen Jesus Christ you love him;,sunday_column_left,100,248
"1 peter 2:2-5, 9-12",weekday_a,first_reading,"1 Peter 2.2-5, 9-12","Like newborn infants,",weekday_direct,100,354
"1 peter 2:2-5, 9-12",weekday_b,first_reading,"1 Peter 2.2-5, 9-12","Like newborn infants,",weekday_direct,100,469
1 peter 2:20b-25,sunday,second_reading,1 Pt 2:20b-25,"BELOVED: If you are patient when you suffer for doing what is good,",sunday_column_left,100,98
1 peter 2:4-9,sunday,second_reading,1 Pt 2:4-9,"BELOVED: Come to him, a living stone, rejected by human beings",sunday_column_left,100,101
1 peter 3:15-18,sunday,second_reading,1 Pt 3:15-18,BELOVED: Sanctify Christ as Lord in your hearts.,sunday_column_left,100,104
1 peter 3:18-22,sunday,second_reading,1 Pt 3:18-22,"BELOVED: Christ suffered for sins once,",sunday_column_left,100,46
1 peter 4:13-16,sunday,second_reading,1 Pt 4:13-16,"BELOVED: Rejoice to the extent that you share in the sufferings of Christ,",sunday_column_left,100,110
1 peter 4:7-13,weekday_a,first_reading,1 Peter 4.7-13,The end of all things is near;,weekday_direct,100,356
1 peter 4:7-13,weekday_b,first_reading,1 Peter 4.7-13,The end of all things is near;,weekday_direct,100,471
1 peter 5:1-4,weekday_a,first_reading,1 Peter 5.1-4,Now as an elder myself,weekday_direct,100,647
1 peter 5:5b-14,weekday_a,first_reading,1 Peter 5.5b-14,"Beloved, all of you must clothe yourselves with humility",weekday_direct,100,663
1 samuel 15:16-23,weekday_a,first_reading,1 Samuel 15.16-23,"Samuel said to Saul,",weekday_direct,100,259
1 samuel 16:1-13,weekday_a,first_reading,1 Samuel 16.1-13,"The Lord said to Samuel,",weekday_direct,100,261
"1 samuel 16:1b, 6-7, 10-13a",sunday,first_reading,"1 Sam 16:1b, 6-7, 10-13a","THE LORD said to Samuel: ""Fill your horn with oil, and be on your way.",sunday_column_left,100,56
"1 samuel 16:1b, 6-7, 10-13a",sunday,first_reading,"1 Sam 16:1b, 6-7, 10-13a","THE LORD said to Samuel: ""Fill your horn with oil, and be on your way.",sunday_column_left,100,58
"1 samuel 17:32-33, 37, 40-51",weekday_a,first_reading,"1 Samuel 17.32-33, 37, 40-51","The Philistines gathered their armies for battle and encamped opposite the Israelites. And there came out of the Philistine camp a champion named Goliath, who challenged the Israelites to choose a man to fight him. All the Israelites, when they saw Goliath, fled from him and were very much afraid. David said to Saul, ""Let no one's heart fail because of him;",weekday_direct,100,264
1 samuel 18:6-9; 19.1-7,weekday_a,first_reading,1 Samuel 18.6-9; 19.1-7,"While the armies were coming home,",weekday_direct,100,267
1 samuel 1:1-8,weekday_a,first_reading,1 Samuel 1.1-8,"There was a certain man of Ramathaim,",weekday_direct,100,244
"1 samuel 1:20-22, 24-28",sunday,first_reading,"1 Sam 1:20-22, 24-28","IN those days Hannah conceived, and at the end of her term bore a son whom she called Samuel, since she had asked the LORD for him.",sunday_column_left,100,38
1 samuel 1:24-28,weekday_a,first_reading,1 Samuel 1.24-28,"When Hannah had weaned her son Samuel,",weekday_direct,100,59
1 samuel 1:9-20,weekday_a,first_reading,1 Samuel 1.9-20,"Elkanah, his wives and children offered sacrifice at the temple in Shiloh, and then sat down to eat the sacrificial meal. After they had eaten and drunk,",weekday_direct,100,246
1 samuel 24:2-21,weekday_a,first_reading,1 Samuel 24.2-21,"Saul took three thousand chosen men out of all Israel,",weekday_direct,100,269
"1 samuel 26:2, 7-9, 12-13, 22-23",sunday,first_reading,"1 Sam 26:2, 7-9, 12-13, 22-23","IN those days, Saul went down to the desert of Ziph with three thousand picked men of Israel,",sunday_column_left,100,149
"1 samuel 3:1-10, 19-20",weekday_a,first_reading,"1 Samuel 3.1-10, 19-20","At the temple in Shiloh, the boy Samuel was ministering to the Lord under Eli.",weekday_direct,100,249
"1 samuel 3:3b-10, 19",sunday,first_reading,"1 Sam 3:3b-10, 19",SAMUEL was sleeping in the temple of the LORD where the ark of God was.,sunday_column_left,100,133
1 samuel 4:1c-11,weekday_a,first_reading,1 Samuel 4.1c-11,"In those days the Philistines mustered for war against Israel,",weekday_direct,100,251
"1 samuel 8:4-7, 10-22a",weekday_a,first_reading,"1 Samuel 8.4-7, 10-22a",All the elders of Israel gathered together,weekday_direct,100,254
"1 samuel 9:1-4, 17-19; 10.1a",weekday_a,first_reading,"1 Samuel 9.1-4, 17-19; 10.1a",There was a man of Benjamin whose name was Kish,weekday_direct,100,256
"1 thessalonians 1:1-5, 8b-10",weekday_b,first_reading,"1 Thessalonians 1.1-5, 8b-10","From Paul, Silvanus, and Timothy:",weekday_direct,100,240
