row,season,week,day,weekday_cycle,sunday_cycle,lectionary_number,type,reference,first_verse_text,current_incipit,flag_reason
697,Lent,5,Saturday,I/II,,249,gospel,"(shorter) John 11.3-7, 17, 20-27, 33b-45","So the sisters sent to him, saying, ""Lord, he whom you love is ill.""",The sisters of Lazarus sent a message to Jesus,starts_with_conjunction:so
699,Holy Week,,Palm Sunday,,A,,gospel,Matt 26:14-27:66 or 27:11-54,[PARSE_ERROR: Matt 26:14-27:66 or 27:11-54],"ONE of the Twelve, who was called Judas Iscariot",extraction_failed
700,Holy Week,,Palm Sunday,,B,,gospel,Mark 14:1-15:47 or 15:1-39,[PARSE_ERROR: Mark 14:1-15:47 or 15:1-39],THE Passover and the Feast of Unleavened Bread,extraction_failed
701,Holy Week,,Palm Sunday,,C,,gospel,Luke 22:14-23:56 or 23:1-49,[PARSE_ERROR: Luke 22:14-23:56 or 23:1-49],WHEN the hour came,extraction_failed
702,Holy Week,,Holy Thursday,,ABC,,gospel,John 13:1-15,"Now before the feast of the Passover, when Jesus knew that his hour had come to depart out of this world to the Father, having loved his own who were in the world, he loved them to the end.","BEFORE the feast of Passover, Jesus knew that his hour had come",starts_with_conjunction:now
703,Holy Week,,Good Friday,,ABC,,gospel,John 18:1-19:42,"When Jesus had spoken these words, he went forth with his disciples across the Kidron valley, where there was a garden, which he and his disciples entered.",JESUS went out with his disciples across the Kidron valley,starts_with_conjunction:when
707,Easter,2,Sunday,,A,,first_reading,Acts 2:42-47,"And they devoted themselves to the apostles' teaching and fellowship, to the breaking of bread and the prayers.",THEY devoted themselves,starts_with_conjunction:and
708,Easter,2,Sunday,,B,,first_reading,Acts 4:32-35,"Now the company of those who believed were of one heart and soul, and no one said that any of the things which he possessed was his own, but they had everything in common.",THE community of believers was of one heart and mind,starts_with_conjunction:now
709,Easter,2,Sunday,,C,,first_reading,Acts 5:12-16,Now many signs and wonders were done among the people by the hands of the apostles. And they were all together in Solomon's Portico.,MANY signs and wonders were done among the people,starts_with_conjunction:now
710,Easter,2,Monday,I/II,,267,first_reading,Acts 4.23-31,When they were released they went to their friends and reported what the chief priests and the elders had said to them.,After Peter and John were released by the rulers and elders,starts_with_conjunction:when
710,Easter,2,Monday,I/II,,267,gospel,John 3.1-8,"Now there was a man of the Pharisees, named Nicodemus, a ruler of the Jews.","Now there was a Pharisee named Nicodemus, a leader of the Jews.",starts_with_conjunction:now
711,Easter,2,Tuesday,I/II,,268,first_reading,Acts 4.32-37,"Now the company of those who believed were of one heart and soul, and no one said that any of the things which he possessed was his own, but they had everything in common.",The whole group of those who believed,starts_with_conjunction:now
712,Easter,2,Wednesday,I/II,,269,first_reading,Acts 5.17-26,"But the high priest rose up and all who were with him, that is, the party of the Sadducees, and filled with jealousy",The high priest and all who were with him,starts_with_conjunction:but
712,Easter,2,Wednesday,I/II,,269,gospel,John 3.16-21,"For God so loved the world that he gave his only Son, that whoever believes in him should not perish but have eternal life.","Jesus said to Nicodemus ""God so loved the world that he gave his only Son",starts_with_conjunction:for
713,Easter,2,Thursday,I/II,,270,first_reading,Acts 5.27-33,"And when they had brought them, they set them before the council. And the high priest questioned them,",When the temple police had brought the apostles,starts_with_conjunction:and
713,Easter,2,Thursday,I/II,,270,gospel,John 3.31-36,"He who comes from above is above all; he who is of the earth belongs to the earth, and of the earth he speaks; he who comes from heaven is above all.","Jesus said to Nicodemus ""The one who comes from above is above all",starts_with_pronoun:he
714,Easter,2,Friday,I/II,,271,first_reading,Acts 5.34-42,"But a Pharisee in the council named Gamali-el, a teacher of the law, held in honor by all the people, stood up and ordered the men to be put outside for a while.",The apostles were being questioned by the high priest before the council.,starts_with_conjunction:but
714,Easter,2,Friday,I/II,,271,gospel,John 6.1-15,"After this Jesus went to the other side of the Sea of Galilee, which is the Sea of Tiberi-as.",Jesus went to the other side of the Sea of Galilee,continuation_marker
