Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Ordinary Time,2,Friday,II,,"Psalm 37.3-4, 5-6, 27-28, 39-40 (R.39)",The salvation of the just comes from the Lord.,John 8.12,"I am the light of the world, says the Lord; whoever follows me will have the light of life.",435
Ordinary Time,2,Friday,II,,"Psalm 119.1-2, 10-11, 17-18 (R.1a)",Happy are they who follow the law of the Lord!,Luke 21.28,Lift up your heads and see; your redemption is near at hand. 1724 THIRTY-SECOND WEEK IN ORDINARY TIME – YEAR II,495
Ordinary Time,2,Saturday,I,,"Psalm 47.1-2, 5-6, 7-8 (R.5)","God ascends with songs of joy, the sound of trumpets greets the Lord.",,"Acts 16.14b Open our hearts, O Lord, to listen eagerly to the words of your Son. 130 SECOND WEEK IN ORDINARY TIME – YEAR I",316
Ordinary Time,2,Saturday,I,,"Psalm 80.1-2, 4-6 (R.3)","O God, let us see your face that we may be saved.",Acts 16.14b,"Open our hearts, O Lord, to listen to the words of your Son.",316
Ordinary Time,2,Saturday,II,,"Psalm 54.1-2, 4+6",The Lord God is my help.,John 14.6,"I am the way, the truth, and the life, says the Lord; no one comes to the Father, except through me. 1188 TWENTY-SECOND WEEK IN ORDINARY TIME – YEAR I",436
Ordinary Time,2,Saturday,II,,"Psalm 105.2-3, 36-37, 42-43 (R.5a)",Remember the marvels the Lord has done.,2 Thessalonians 2.14,"God has called us with the gospel, to share in the glory of our Lord Jesus Christ. SATURDAY 1319",496
Ordinary Time,2,Saturday,II,,"Psalm 145.17-18, 19-20, 21 (R.18a)",The Lord is near to all who call on him.,John 14.6,"I am the way, the truth, and the life, says the Lord; no one comes to the Father, except through me.",436
Ordinary Time,2,Saturday,II,,"Psalm 112.1-2, 3-4, 5-6 (R.1b)",Happy are those who fear the Lord.,2 Thessalonians 2.14,"God has called us with the gospel, to share in the glory of our Lord Jesus Christ. 1726 THIRTY-SECOND WEEK IN ORDINARY TIME – YEAR II",496
Ordinary Time,3,Monday,I,,"Psalm 98.1, 2-3ab, 3cd-4, 5-6 (R.1a)","Sing to the Lord a new song, for the Lord has done marvellous things.",2 Timothy 1.10b,Our Saviour Jesus Christ has done away with death and brought us life through the gospel.,317
Ordinary Time,3,Monday,I,,"Psalm 89.19, 20-21, 24-25 (R.24a)",My faithfulness and steadfast love shall be with him.,2 Timothy 1.10b,Our Saviour Jesus Christ has done away with death and brought us life through the gospel.,317
Ordinary Time,3,Monday,II,,"Psalm 62.5-6, 7b-8 (R.7a)",In God is my safety and my glory.,John 10.27,"My sheep listen to my voice, says the Lord; I know them and they follow me.",437
Ordinary Time,3,Monday,II,,"Psalm 28.2, 7, 8-9 (R.6)",Blest be the Lord for he has heard my prayer.,John 3.16,"God loved the world so much, he gave his only Son, that all who believe in him might have eternal life.",443
Ordinary Time,3,Monday,II,,"Psalm 1.1-2, 3, 4+6 (R. Rev 2.7b)",Those who are victorious,John 8.12,"I am the light of the world, says the Lord: whoever follows me will have the light of life.",497
Ordinary Time,3,Monday,II,,"Psalm 24.1-2, 3-4ab, 5-6 (R. see 6)","Lord, this is the people that longs to see your face.","Matthew 24.42a, 44",Be watchful and ready: you know not when the Son of Man is coming.,503
Ordinary Time,3,Tuesday,I,,"Psalm 40.1+3ab, 6-7a, 9, 10 (R.7a+8a)","Here am I, Lord; I come to do your will.",See Matthew 11.25,"Blessed are you, Father, Lord of the ruler of heaven and earth; you have revealed to little ones the mysteries of the kingdom. TUESDAY 135",318
Ordinary Time,3,Tuesday,I,,"Psalm 24.7, 8, 9, 10 (R.8a)",Who is this king of glory?,See Matthew 11.25,"Blessed are you, Father, Lord of heaven and earth; you have revealed to little ones the mysteries of the kingdom.",318
