source_file,reference,current_incipit,extracted_incipit,script_source,cycle,date,reading_type,notes
standard_lectionary_complete.csv,1 Pet 3:18-22,,,,/B,Lent 1 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 10:8-13,,,,/C,Lent 1 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Tim 1:8b-10,,,,/A,Lent 2 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 8:31b-34,,,,/B,Lent 2 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Phil 3:17-4:1 or 3:20-4:1,,,,/C,Lent 2 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,18-20,,,,I/II/,Lent 2 Saturday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Rom 5:1-2, 5-8",,,,/A,Lent 3 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Cor 1:22-25,,,,/B,Lent 3 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"1 Cor 10:1-6, 10-12",,,,/C,Lent 3 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Eph 5:8-14,,,,/A,Lent 4 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Eph 2:4-10,,,,/B,Lent 4 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Cor 5:17-21,,,,/C,Lent 4 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 8:8-11,,,,/A,Lent 5 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Heb 5:7-9,,,,/B,Lent 5 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Phil 3:8-14,,,,/C,Lent 5 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Cor 5:20-6:2,,,,/ABC,Lent After Ash Wed Ash Wednesday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Phil 2:6-11,,,,/A,Holy Week  Palm Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Phil 2:6-11,,,,/B,Holy Week  Palm Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Phil 2:6-11,,,,/C,Holy Week  Palm Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Cor 11:23-26,,,,/ABC,Holy Week  Holy Thursday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Heb 4:14-16; 5:7-9,,,,/ABC,Holy Week  Good Friday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Pet 1:3-9,,,,/A,Easter 2 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 John 5:1-6,,,,/B,Easter 2 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Rev 1:9-11a, 12-13, 17-19",,,,/C,Easter 2 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,John 6.16-21,,,,I/II/,Easter 2 Saturday,Gospel,No matching reference found in script sources
standard_lectionary_complete.csv,1 Pet 1:17-21,,,,/A,Easter 3 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 John 2:1-5a,,,,/B,Easter 3 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rev 5:11-14,,,,/C,Easter 3 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Pet 2:20b-25,,,,/A,Easter 4 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 John 3:1-2,,,,/B,Easter 4 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Rev 7:9, 14b-17",,,,/C,Easter 4 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,John 14.7-14,,,,I/II/,Easter 4 Saturday,Gospel,No matching reference found in script sources
standard_lectionary_complete.csv,1 Pet 2:4-9,,,,/A,Easter 5 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 John 3:18-24,,,,/B,Easter 5 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rev 21:1-5a,,,,/C,Easter 5 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Pet 3:15-18,,,,/A,Easter 6 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 John 4:7-10,,,,/B,Easter 6 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Rev 21:10-14, 22-23",,,,/C,Easter 6 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Pet 4:13-16,,,,/A,Easter 7 Sunday,Second Reading,No matching reference found in script sources
